,Residential,Garden,Settlement,BP_BF,year_of_building,length_of_building,new_ins_period,NumberOfWindows_0,NumberOfWindows_1,NumberOfWindows_10,NumberOfWindows_2,NumberOfWindows_3,NumberOfWindows_4,NumberOfWindows_5,NumberOfWindows_6,NumberOfWindows_7,NumberOfWindows_8,NumberOfWindows_9,Building_Type_1,Building_Type_2,Building_Type_3,Building_Type_4
51,0,0.0,0,0,25.0,108,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,0,0.0,0,0,27.0,108,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,0,0.0,0,0,27.0,74,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,0,0.0,0,0,24.0,66,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,0,0.0,0,0,25.0,66,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,0,1.0,1,1,19.0,52,1000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
57,0,0.0,0,0,27.0,115,857,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,0,0.0,0,0,53.0,70,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,0,0.0,0,0,24.0,63,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,0,0.0,0,0,27.0,85,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,0,0.0,0,0,35.0,34,295,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,0,0.0,0,0,25.0,66,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,0,1.0,1,1,113.0,35,1000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
64,0,0.0,0,1,56.0,54,997,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,0,1.0,1,1,6.0,90,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
66,0,1.0,1,1,7.0,90,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
67,1,1.0,1,1,7.0,71,1000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
68,0,0.0,0,0,52.0,43,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,0,0.0,0,0,34.0,97,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,0,1.0,1,1,24.0,161,1000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
71,0,0.0,0,0,54.0,35,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,0,1.0,1,1,32.0,41,1000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
73,0,0.0,0,0,24.0,77,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,0,0.0,0,0,25.0,60,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,0,0.0,0,1,24.0,48,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,0,0.0,0,1,28.0,89,997,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,0,0.0,0,1,24.0,63,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,0,0.0,0,1,25.0,63,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,0,0.0,0,1,28.0,63,997,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,0,0.0,0,0,36.0,81,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,0,0.0,0,0,32.0,58,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,0,0.0,0,0,35.0,58,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,0,0.0,0,0,28.0,101,997,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,0,0.0,0,1,25.0,118,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,0,0.0,0,1,26.0,32,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,0,1.0,1,1,16.0,46,1000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
87,0,1.0,1,1,44.0,137,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
88,1,0.0,0,1,55.0,57,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
89,0,0.0,0,1,25.0,83,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,0,0.0,0,0,53.0,64,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,0,1.0,1,1,30.0,75,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
92,0,0.0,0,0,32.0,34,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,0,0.0,0,0,32.0,82,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,0,0.0,0,0,36.0,82,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,0,1.0,1,1,35.0,121,1000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
96,0,1.0,1,1,43.0,60,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
97,0,0.0,0,0,33.0,109,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,0,1.0,1,1,41.0,68,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
99,0,1.0,1,1,51.0,109,997,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
100,0,0.0,0,0,25.0,128,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,0,1.0,1,1,64.0,56,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
102,0,1.0,1,1,35.0,111,997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
103,0,1.0,1,1,45.0,35,997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
104,0,1.0,1,1,44.0,99,781,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
105,0,1.0,1,1,41.0,81,997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
106,0,0.0,0,0,43.0,60,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,0,1.0,1,1,72.0,42,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
108,0,1.0,1,1,116.0,118,997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
109,0,0.0,0,1,26.0,7,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,0,0.0,0,1,44.0,195,915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,0,1.0,1,1,15.0,69,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
112,0,0.0,0,1,25.0,6,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,0,1.0,1,1,24.0,47,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
114,0,1.0,1,1,13.0,118,997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
115,0,1.0,1,1,23.0,50,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
116,0,1.0,1,1,25.0,50,986,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
117,1,1.0,1,1,48.0,128,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
118,0,1.0,1,1,54.0,128,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
119,0,1.0,1,1,46.0,76,997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
120,0,0.0,0,1,55.0,48,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,0,0.0,0,1,56.0,48,997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,1,0.0,0,1,53.0,38,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,0,0.0,0,1,53.0,42,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,0,0.0,0,1,24.0,147,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,0,0.0,0,1,28.0,147,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,1,1.0,1,1,72.0,105,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
127,1,1.0,1,1,75.0,105,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
128,1,1.0,1,1,76.0,105,997,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
129,1,1.0,1,1,92.0,42,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
130,1,1.0,1,1,54.0,74,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
131,0,1.0,1,1,82.0,41,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
132,1,1.0,1,1,75.0,63,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
133,1,1.0,1,1,92.0,66,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
134,1,1.0,1,1,42.0,45,161,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
135,1,1.0,1,1,93.0,34,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
136,1,1.0,1,1,95.0,34,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
137,1,1.0,1,1,96.0,34,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
138,1,1.0,1,1,21.0,114,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
139,1,1.0,1,1,39.0,63,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
140,1,1.0,1,1,92.0,51,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
141,1,1.0,1,1,95.0,34,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
142,1,1.0,1,1,82.0,46,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
143,1,1.0,1,1,84.0,46,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
144,0,1.0,1,1,94.0,70,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
145,0,1.0,1,1,95.0,70,997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
146,0,1.0,1,1,94.0,149,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
147,1,1.0,1,1,50.0,84,95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
148,1,1.0,1,1,51.0,84,997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
149,1,1.0,1,1,73.0,44,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
150,0,0.0,0,1,34.0,77,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,0,1.0,1,1,63.0,86,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
152,1,0.0,0,1,55.0,61,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,1,0.0,0,1,52.0,36,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,1,0.0,0,1,55.0,36,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,0,1.0,1,1,55.0,63,997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
156,1,1.0,1,1,43.0,115,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
157,0,1.0,1,1,33.0,114,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
158,0,1.0,1,1,35.0,114,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
159,0,0.0,0,1,53.0,34,665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,1,0.0,0,1,52.0,94,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,0,0.0,0,1,32.0,74,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,1,1.0,1,1,37.0,149,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
163,1,1.0,1,1,38.0,149,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
164,0,1.0,1,1,47.0,56,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
165,0,0.0,0,1,53.0,34,893,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,0,0.0,0,1,43.0,131,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,0,0.0,0,1,32.0,92,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
168,0,1.0,1,1,55.0,50,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
169,0,1.0,1,1,85.0,28,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
170,0,1.0,1,1,60.0,168,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
171,0,1.0,1,1,6.0,82,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
172,0,1.0,1,1,75.0,54,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
173,1,1.0,1,1,59.0,114,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
174,0,1.0,1,1,53.0,37,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
175,1,0.0,0,0,32.0,40,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,0,0.0,0,0,44.0,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,0,0.0,0,0,45.0,25,893,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178,0,0.0,0,1,54.0,35,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,0,0.0,0,1,56.0,35,997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,1,0.0,0,0,35.0,268,580,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,0,0.0,0,0,52.0,70,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,0,0.0,0,1,55.0,40,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183,0,0.0,0,1,33.0,32,832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,0,1.0,1,1,42.0,54,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
185,0,1.0,1,1,34.0,67,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
186,0,1.0,1,1,27.0,129,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
187,0,1.0,1,1,215.0,20,260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
188,1,0.0,0,1,25.0,60,747,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
189,1,0.0,0,1,32.0,199,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,0,0.0,0,0,35.0,102,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,0,1.0,1,1,6.0,146,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
192,1,0.0,0,0,54.0,32,915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
193,0,0.0,0,1,24.0,116,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,0,1.0,1,1,27.0,121,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
195,0,1.0,1,1,30.0,121,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
196,0,1.0,1,1,3.0,116,418,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
197,0,1.0,1,1,4.0,116,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
198,0,1.0,1,1,5.0,116,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
199,0,0.0,0,0,33.0,139,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,0,0.0,0,0,34.0,177,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201,0,0.0,0,0,33.0,72,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202,0,0.0,0,0,34.0,72,769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
203,1,1.0,1,1,33.0,126,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
204,1,1.0,1,1,34.0,126,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
205,0,1.0,1,1,83.0,26,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
206,0,1.0,1,1,85.0,26,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
207,0,1.0,1,1,53.0,47,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
208,0,0.0,0,1,54.0,16,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
209,0,1.0,1,1,31.0,38,997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
210,1,0.0,0,1,53.0,28,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,1,0.0,0,1,52.0,40,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
212,0,0.0,0,1,33.0,40,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
213,0,0.0,0,1,36.0,40,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214,0,1.0,1,1,72.0,40,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
215,0,1.0,1,1,76.0,40,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
216,0,1.0,1,1,92.0,40,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
217,0,1.0,1,1,37.0,158,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
218,0,1.0,1,1,122.0,31,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
219,0,1.0,1,1,114.0,54,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
220,0,0.0,0,0,53.0,40,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
221,0,1.0,1,1,66.0,51,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
222,0,1.0,1,1,35.0,66,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
223,0,1.0,1,1,64.0,46,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
224,0,1.0,1,1,37.0,114,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
225,0,1.0,1,1,39.0,114,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
226,0,1.0,1,1,40.0,114,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
227,0,0.0,0,1,43.0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
228,0,1.0,1,1,62.0,50,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
229,0,0.0,0,1,35.0,46,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230,0,1.0,1,1,53.0,42,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
231,0,1.0,1,1,53.0,123,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
232,1,1.0,1,1,26.0,67,476,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
233,0,1.0,1,1,53.0,40,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
234,0,0.0,0,1,52.0,22,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
235,0,0.0,0,1,52.0,31,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,0,0.0,0,1,53.0,31,865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
237,1,0.0,0,0,32.0,91,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
238,1,0.0,0,1,25.0,85,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
239,1,0.0,0,0,32.0,104,554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,0,1.0,1,1,65.0,44,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
241,0,0.0,0,1,32.0,49,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
242,0,1.0,1,1,6.0,74,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
243,0,1.0,1,1,7.0,74,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
244,0,0.0,0,1,55.0,41,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
245,0,0.0,0,1,34.0,79,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
246,0,0.0,0,1,53.0,31,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
247,0,0.0,0,1,33.0,73,832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
248,0,0.0,0,1,54.0,43,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
249,0,0.0,0,1,55.0,43,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
250,0,0.0,0,1,54.0,80,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
251,0,0.0,0,1,26.0,152,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
252,0,1.0,1,1,44.0,63,997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
253,0,1.0,1,1,43.0,89,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
254,0,1.0,1,1,46.0,107,997,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
255,0,1.0,1,1,45.0,115,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
256,0,1.0,1,1,42.0,205,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
257,1,0.0,0,0,25.0,86,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
258,1,1.0,1,1,29.0,154,163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
259,0,1.0,1,1,6.0,45,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
260,0,1.0,1,1,15.0,111,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
261,0,1.0,1,1,16.0,111,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
262,0,1.0,1,1,94.0,42,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
263,0,1.0,1,1,44.0,227,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
264,0,1.0,1,1,46.0,227,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
265,0,1.0,1,1,55.0,42,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
266,0,1.0,1,1,52.0,72,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
267,0,1.0,1,1,112.0,31,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
